MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
04	09	2000	22.7	6.7	166.7	3.0	27.4	6.2
04	10	2000	17.5	1.4	256.9	0.5	19.4	5.3
04	11	2000	18.6	-0.5	294.0	0.0	10.2	3.3
04	12	2000	20.7	1.1	238.4	0.0	27.5	4.4
04	13	2000	20.2	4.3	244.2	0.0	29.6	1.6
04	14	2000	22.1	9.5	134.3	0.0	36.1	3.9
04	15	2000	19.8	9.1	159.7	0.0	38.6	3.9
04	16	2000	22.6	6.8	211.8	0.0	26.8	3.7
04	17	2000	26.4	5.9	192.1	0.0	17.2	2.1
04	18	2000	23.3	9.6	223.4	0.0	25.6	1.2
04	19	2000	24.3	9.7	203.7	4.4	29.3	1.4
04	20	2000	26.2	9.8	222.2	2.3	23.8	2.6
04	21	2000	21.1	6.4	213.0	2.5	39.2	2.8
04	22	2000	22.1	4.5	312.5	0.0	15.6	2.7
04	23	2000	21.4	3.4	265.0	0.0	17.4	2.1
04	24	2000	20.8	4.2	270.8	0.0	15.6	2.9
04	25	2000	19.9	3.5	292.8	0.0	22.6	2.2
04	26	2000	22.0	4.3	316.0	0.0	18.0	1.8
04	27	2000	25.2	4.9	312.5	0.0	13.4	0.6
04	28	2000	25.8	8.2	277.8	0.0	19.6	1.8
04	29	2000	23.6	7.2	283.6	0.0	21.6	3.9
04	30	2000	21.9	6.0	254.6	0.0	19.0	4.6
05	01	2000	23.2	4.9	268.5	0.0	11.9	4.1
05	02	2000	22.8	4.0	312.5	0.0	16.7	2.8
05	03	2000	25.5	5.2	288.2	0.0	15.1	4.2
05	04	2000	26.4	9.2	266.2	0.0	17.8	3.6
05	05	2000	26.7	10.3	260.4	0.0	17.2	2.2
05	06	2000	24.9	11.4	247.7	2.9	29.5	1.9
05	07	2000	25.8	10.6	224.5	0.0	23.6	2.6
05	08	2000	23.2	10.9	291.7	1.6	30.2	4.1
05	09	2000	24.0	5.3	338.0	0.0	13.4	3.5
05	10	2000	23.9	3.9	348.4	0.0	8.3	1.6
05	11	2000	25.7	3.2	349.5	0.0	9.2	1.4
05	12	2000	24.5	4.9	356.5	0.0	8.5	2.1
05	13	2000	27.4	6.0	342.6	0.0	7.3	0.6
05	14	2000	29.0	8.4	278.9	0.0	6.8	2.3
05	15	2000	28.0	8.2	339.1	0.0	9.3	2.5
05	16	2000	27.3	8.4	314.8	0.0	12.4	2.4
05	17	2000	27.3	8.2	336.8	0.0	12.0	2.7
05	18	2000	26.4	8.7	322.9	0.0	12.5	3.0
05	19	2000	27.2	8.7	302.1	0.0	10.6	4.4
05	20	2000	25.6	7.6	290.5	0.0	7.1	3.3
05	21	2000	26.1	7.3	332.2	0.0	11.6	2.3
05	22	2000	27.7	7.4	349.5	0.0	10.3	1.5
05	23	2000	30.6	7.6	343.7	0.0	9.6	1.3
05	24	2000	31.1	9.2	354.2	0.0	8.7	0.8
05	25	2000	31.3	10.7	339.1	0.0	9.2	2.5
05	26	2000	30.3	9.6	333.3	0.0	7.9	3.1
05	27	2000	29.6	8.6	340.3	0.0	7.1	2.6
05	28	2000	30.4	9.9	355.3	0.0	5.7	1.4
05	29	2000	32.7	9.6	355.3	0.0	4.4	0.8
05	30	2000	32.9	10.4	354.2	0.0	7.5	1.7
05	31	2000	31.9	11.2	356.5	0.0	7.8	3.1
06	01	2000	28.0	9.4	341.4	0.0	11.9	2.0
06	02	2000	30.9	8.3	335.6	0.0	11.5	3.4
06	03	2000	32.5	12.1	327.5	0.0	7.4	3.2
06	04	2000	32.9	11.8	332.2	0.0	4.0	2.1
06	05	2000	33.2	11.6	365.7	0.0	3.4	1.9
06	06	2000	34.8	10.3	349.5	0.0	3.6	1.2
06	07	2000	34.9	11.7	342.6	0.0	2.5	1.4
06	08	2000	34.2	12.6	341.4	0.0	2.6	1.7
06	09	2000	33.9	12.2	328.7	0.0	1.7	0.9
06	10	2000	31.7	11.4	326.4	1.6	6.3	4.4
06	11	2000	31.9	11.7	327.5	0.0	8.6	2.9
06	12	2000	31.9	5.7	299.8	0.0	6.7	1.9
06	13	2000	22.7	4.6	343.7	0.0	10.0	4.2
06	14	2000	27.0	3.6	338.0	0.0	6.6	3.3
06	15	2000	29.7	8.8	319.4	0.0	7.7	3.0
06	16	2000	30.6	9.5	309.0	0.0	5.8	3.1
06	17	2000	32.3	11.4	296.3	0.0	4.9	1.4
06	18	2000	33.2	12.2	324.1	0.0	4.8	0.9
06	19	2000	32.7	12.5	318.3	0.0	4.3	2.1
06	20	2000	33.4	12.2	318.3	0.0	2.3	1.2
06	21	2000	36.5	12.3	334.5	0.0	2.6	2.6
06	22	2000	37.0	13.6	339.1	0.0	1.7	2.2
06	23	2000	37.9	13.3	340.3	0.0	1.5	1.6
06	24	2000	35.6	11.1	335.6	0.0	1.0	1.0
06	25	2000	33.5	10.2	335.6	0.0	4.2	1.7
06	26	2000	32.6	12.0	319.4	0.0	5.0	0.9
06	27	2000	33.6	10.9	314.8	0.0	5.9	1.9
06	28	2000	34.9	13.5	319.4	0.0	3.5	1.9
06	29	2000	36.5	15.0	331.0	0.0	4.4	2.4
06	30	2000	37.8	17.5	297.5	0.0	5.8	2.8
07	01	2000	39.5	18.9	305.6	0.0	5.3	3.3
07	02	2000	40.0	19.1	295.1	0.0	4.9	1.8
07	03	2000	39.2	18.1	295.1	0.0	5.3	3.2
07	04	2000	38.4	18.4	314.8	0.0	5.3	3.4
07	05	2000	37.3	17.4	313.7	0.0	5.4	3.4
07	06	2000	35.5	16.3	306.7	0.0	6.8	3.8
07	07	2000	37.4	18.2	292.8	2.0	9.6	2.7
07	08	2000	35.7	17.5	281.2	0.0	12.0	1.5
07	09	2000	37.1	17.0	304.4	0.0	9.9	2.0
07	10	2000	36.9	19.0	290.5	0.0	11.3	3.5
07	11	2000	38.7	18.4	289.4	0.0	6.9	2.2
07	12	2000	38.6	18.7	282.4	0.0	7.5	3.9
07	13	2000	34.1	17.9	296.3	0.0	14.7	5.5
07	14	2000	38.2	17.9	292.8	0.0	9.2	2.6
07	15	2000	39.8	19.4	291.7	0.0	6.8	0.8
07	16	2000	39.7	18.8	297.5	0.0	9.5	3.2
07	17	2000	36.5	18.1	288.2	0.0	11.1	4.4
07	18	2000	35.7	17.0	317.1	0.0	9.6	3.7
07	19	2000	34.1	16.6	300.9	0.0	10.5	4.2
07	20	2000	37.3	15.9	306.7	0.0	6.7	2.9
07	21	2000	38.1	16.9	302.1	0.0	5.9	3.7
07	22	2000	34.3	16.6	321.8	0.0	9.1	4.5
07	23	2000	35.8	15.5	313.7	0.0	7.9	3.4
07	24	2000	37.1	15.9	298.6	0.0	7.1	3.1
07	25	2000	38.3	16.7	303.2	0.0	7.3	3.4
07	26	2000	35.1	17.5	280.1	0.0	9.1	3.8
07	27	2000	35.7	16.5	288.2	0.0	7.2	3.1
07	28	2000	36.1	15.9	307.9	0.0	5.8	3.0
07	29	2000	35.9	14.5	306.7	0.0	5.0	3.2
07	30	2000	35.9	13.2	306.7	0.0	5.6	3.9
07	31	2000	34.9	16.4	292.8	0.0	6.6	3.5
08	01	2000	35.3	16.0	321.8	0.0	8.2	3.4
08	02	2000	37.3	16.3	322.9	0.0	4.8	2.2
08	03	2000	39.0	17.3	313.7	0.0	4.8	2.3
08	04	2000	37.6	16.0	299.8	0.0	10.2	1.2
08	05	2000	36.5	16.7	299.8	0.0	5.7	1.8
08	06	2000	36.4	16.4	285.9	0.0	8.4	2.0
08	07	2000	36.4	14.5	296.3	0.0	9.3	1.6
08	08	2000	33.7	13.4	304.4	0.0	17.6	4.0
08	09	2000	34.1	13.0	288.2	0.0	18.0	4.7
08	10	2000	36.1	18.3	273.1	0.0	13.4	5.2
08	11	2000	35.5	17.2	273.1	0.0	7.8	5.0
08	12	2000	35.1	16.0	258.1	0.0	8.2	4.2
08	13	2000	38.0	16.5	260.4	0.0	7.7	1.4
08	14	2000	37.2	19.0	203.7	1.8	10.3	1.5
08	15	2000	36.7	18.5	267.4	0.0	12.0	1.7
08	16	2000	37.2	17.6	281.2	0.0	7.7	3.3
08	17	2000	37.5	16.8	292.8	0.0	5.5	2.4
08	18	2000	36.9	16.4	288.2	0.0	6.6	2.5
08	19	2000	37.4	17.2	276.6	0.0	7.3	3.1
08	20	2000	37.1	17.4	258.1	0.0	7.7	3.8
08	21	2000	37.7	18.1	283.6	0.0	5.9	1.3
08	22	2000	37.5	17.2	287.0	0.0	7.7	2.1
08	23	2000	38.3	17.2	294.0	0.0	6.6	2.4
08	24	2000	37.6	16.2	291.7	0.0	5.0	1.5
08	25	2000	36.1	17.1	280.1	0.0	7.8	2.5
08	26	2000	37.3	17.3	261.6	0.0	9.1	1.4
08	27	2000	36.6	17.4	260.4	0.0	7.3	2.0
08	28	2000	35.9	16.6	282.4	0.0	7.2	2.5
08	29	2000	36.2	16.1	275.5	0.0	8.7	1.3
08	30	2000	35.3	13.3	268.5	0.0	4.0	1.3
08	31	2000	33.5	12.1	251.2	0.0	1.4	1.9
09	01	2000	33.5	10.4	289.4	0.0	8.8	2.0
09	02	2000	33.0	10.5	289.4	0.0	14.8	3.1
09	03	2000	34.9	12.7	287.0	0.0	5.2	1.4
09	04	2000	34.8	13.7	276.6	0.0	9.0	1.0
09	05	2000	34.8	13.7	275.5	0.0	6.3	2.5
09	06	2000	34.0	14.6	270.8	1.0	11.2	2.5
09	07	2000	34.3	14.0	267.4	0.0	8.8	2.8
09	08	2000	35.5	14.4	278.9	0.0	8.5	2.1
09	09	2000	36.9	14.5	281.2	0.0	6.7	2.1
09	10	2000	35.7	13.0	273.1	0.0	6.9	2.5
09	11	2000	32.0	10.2	274.3	0.0	13.5	4.3
09	12	2000	34.0	9.8	273.1	0.0	3.1	1.9
09	13	2000	32.9	11.2	268.5	0.0	3.5	2.5
09	14	2000	33.5	10.8	262.7	0.0	5.1	1.3
09	15	2000	33.2	11.4	261.6	0.0	4.2	1.7
09	16	2000	33.9	10.0	261.6	0.0	4.5	0.5
09	17	2000	33.8	11.9	248.8	0.0	4.8	1.6
09	18	2000	32.4	10.2	240.7	0.0	5.1	1.8
09	19	2000	31.9	9.0	241.9	0.0	11.5	3.3
09	20	2000	32.8	10.8	245.4	0.0	7.2	2.8
09	21	2000	32.2	10.3	240.7	0.0	4.1	2.4
09	22	2000	30.6	10.4	243.1	0.0	5.8	2.2
09	23	2000	31.3	9.6	221.1	0.0	6.3	1.2
09	24	2000	30.0	8.7	224.5	0.0	7.9	1.5
09	25	2000	29.9	7.9	226.9	0.0	15.1	1.8
09	26	2000	28.9	9.6	224.5	0.0	7.2	2.9
09	27	2000	28.6	9.9	207.2	0.0	13.4	4.5
09	28	2000	30.3	12.6	157.4	0.0	9.3	3.8
09	29	2000	30.3	11.5	105.3	0.0	11.8	2.3
09	30	2000	28.6	8.3	207.2	0.0	13.0	2.8
10	01	2000	24.6	4.8	201.4	0.0	21.5	3.5
10	02	2000	23.6	4.0	207.2	0.0	18.4	3.6
10	03	2000	22.8	4.7	175.9	0.0	18.3	3.3
10	04	2000	20.7	4.0	189.8	0.0	22.3	3.4
10	05	2000	23.5	4.5	191.0	0.0	18.5	2.4
10	06	2000	26.3	5.2	194.4	0.0	7.9	1.8
10	07	2000	27.6	6.2	194.4	0.0	7.4	1.5
10	08	2000	27.6	8.6	200.2	0.0	7.7	1.7
10	09	2000	27.6	8.7	193.3	0.0	5.9	1.9
10	10	2000	26.8	8.6	191.0	0.0	8.5	2.1
10	11	2000	26.7	8.9	152.8	0.0	11.4	2.4
10	12	2000	25.6	8.4	186.3	0.0	9.4	2.6
10	13	2000	25.2	6.9	166.7	0.0	10.6	2.2
10	14	2000	22.3	6.6	52.1	0.0	19.7	0.9
10	15	2000	15.5	6.5	44.0	3.0	54.6	1.6
10	16	2000	18.4	6.7	86.8	14.3	49.1	2.0
10	17	2000	17.1	5.2	93.7	6.7	53.5	3.1
10	18	2000	20.2	4.1	193.3	0.0	22.5	2.0
10	19	2000	22.2	3.7	192.1	0.0	16.3	1.2
10	20	2000	24.7	5.2	179.4	0.0	12.0	0.8
10	21	2000	24.6	5.6	162.0	0.0	17.8	2.4
10	22	2000	24.9	7.4	162.0	0.0	19.2	3.4
10	23	2000	22.9	5.6	163.2	0.0	16.0	1.6
10	24	2000	21.5	6.9	133.1	0.0	22.6	3.2
10	25	2000	24.0	7.9	129.6	1.8	15.9	5.7
10	26	2000	23.1	8.7	111.1	0.0	12.6	4.4
10	27	2000	20.5	6.6	152.8	0.0	30.9	3.6
10	28	2000	19.3	2.5	143.5	0.0	22.2	2.8
10	29	2000	20.4	1.3	159.7	0.0	11.2	0.8
10	30	2000	18.4	4.9	101.9	0.0	9.8	1.5
10	31	2000	19.0	3.7	104.2	1.5	40.5	1.5
11	01	2000	19.3	5.7	121.5	0.8	35.5	2.3
11	02	2000	21.4	5.8	167.8	0.0	15.8	2.2
11	03	2000	20.3	5.9	174.8	0.0	14.3	3.2
11	04	2000	20.4	5.3	173.6	0.0	26.2	1.0
11	05	2000	12.0	6.1	35.9	6.6	62.2	1.1
11	06	2000	12.4	2.8	56.7	3.3	48.8	3.2
11	07	2000	15.5	1.2	141.2	0.0	29.9	2.0
11	08	2000	17.1	0.5	121.5	0.0	26.2	1.1
11	09	2000	16.4	-0.9	115.7	0.0	27.6	1.5
11	10	2000	14.5	-2.1	147.0	0.0	25.4	1.5
11	11	2000	16.1	0.9	167.8	0.0	17.6	1.1
11	12	2000	19.3	2.5	162.0	0.0	16.8	1.0
11	13	2000	19.7	2.1	159.7	0.0	13.5	0.7
11	14	2000	16.2	0.5	112.3	0.0	20.5	2.2
11	15	2000	15.2	-0.9	67.1	0.0	27.6	2.8
11	16	2000	11.4	-2.2	127.3	0.0	29.6	4.8
11	17	2000	11.5	-0.3	91.4	0.0	19.4	5.0
11	18	2000	14.8	0.9	64.8	1.7	50.2	1.3
11	19	2000	15.8	2.8	82.2	2.8	43.5	2.0
11	20	2000	14.0	2.0	89.1	0.0	43.7	1.7
11	21	2000	13.5	1.2	105.3	0.0	31.7	1.1
11	22	2000	13.4	1.7	149.3	0.0	34.4	1.5
11	23	2000	13.1	1.6	131.9	0.0	25.2	2.7
11	24	2000	11.1	1.5	88.0	1.8	41.2	2.5
11	25	2000	13.1	0.7	101.9	1.6	26.6	2.1
11	26	2000	12.9	1.1	159.7	0.0	23.6	2.5
11	27	2000	13.3	0.8	152.8	0.0	16.4	3.6
11	28	2000	12.8	0.4	153.9	0.0	17.9	2.7
11	29	2000	15.8	1.4	137.7	6.5	15.5	1.2
11	30	2000	16.7	5.8	9.3	11.6	43.6	6.0
12	01	2000	9.5	-2.4	94.9	9.8	84.8	0.7
12	02	2000	4.1	-5.5	106.5	0.0	77.1	0.7
12	03	2000	6.1	-6.9	110.0	0.0	61.3	1.1
12	04	2000	5.4	-6.8	123.8	0.0	67.6	1.0
12	05	2000	10.6	-2.7	86.8	5.0	53.8	1.2
12	06	2000	11.3	0.9	149.3	4.6	56.4	1.6
12	07	2000	10.7	0.8	114.6	0.0	41.9	2.5
12	08	2000	9.0	-0.1	53.2	6.5	44.5	1.9
12	09	2000	6.1	-1.7	25.5	8.2	65.1	4.5
12	10	2000	3.6	-3.3	27.8	11.8	82.0	4.3
12	11	2000	3.0	-2.7	41.7	16.9	80.2	1.0
12	12	2000	3.9	-3.4	71.8	4.0	75.5	3.1
12	13	2000	4.3	-4.4	118.1	0.0	63.4	2.3
12	14	2000	4.6	-4.2	35.9	7.9	60.7	1.8
12	15	2000	2.6	-6.2	53.2	0.0	75.9	2.5
12	16	2000	2.7	-7.5	79.9	0.0	72.2	3.7
12	17	2000	4.2	-7.3	96.1	0.0	73.7	3.4
12	18	2000	7.0	-4.5	129.6	0.0	64.1	1.5
12	19	2000	7.8	0.1	74.1	0.0	48.0	5.2
12	20	2000	6.8	0.3	57.9	0.0	67.4	5.1
12	21	2000	6.6	2.2	77.5	5.0	63.6	6.4
12	22	2000	7.0	-0.7	83.3	0.0	57.8	4.1
12	23	2000	10.8	-0.8	83.3	6.5	53.8	3.2
12	24	2000	9.3	1.0	59.0	0.0	68.4	4.1
12	25	2000	8.9	0.4	115.7	0.0	51.6	3.8
12	26	2000	7.2	-1.2	72.9	4.3	55.3	2.1
12	27	2000	10.0	-2.1	123.8	0.0	31.2	1.7
12	28	2000	11.4	1.3	142.4	0.0	25.7	1.7
12	29	2000	13.3	1.2	145.8	0.0	25.9	1.7
12	30	2000	13.4	2.4	135.4	0.0	28.1	2.7
12	31	2000	12.4	2.3	149.3	0.0	21.2	3.9
01	01	2001	10.1	-0.3	148.1	0.0	44.6	1.4
01	02	2001	10.5	-0.7	141.2	0.0	31.5	2.1
01	03	2001	10.0	0.4	93.7	1.2	36.3	3.8
01	04	2001	4.9	-1.4	71.8	0.8	58.6	2.2
01	05	2001	7.5	-2.0	104.2	0.0	51.0	2.2
01	06	2001	8.3	-1.7	114.6	0.0	47.3	0.3
01	07	2001	8.8	-1.9	131.9	0.0	39.0	2.2
01	08	2001	7.4	-2.0	103.0	0.0	45.4	3.4
01	09	2001	8.7	-2.8	152.8	0.0	36.1	1.9
01	10	2001	11.2	-0.2	155.1	0.0	36.4	2.4
01	11	2001	10.4	0.2	130.8	0.0	32.0	2.4
01	12	2001	9.8	-0.7	144.7	0.0	31.6	3.8
01	13	2001	10.0	-1.1	156.2	0.0	34.4	2.6
01	14	2001	9.8	-0.7	155.1	0.0	35.5	3.6
01	15	2001	9.9	-0.8	148.1	0.0	38.8	2.5
01	16	2001	10.4	0.1	137.7	0.0	33.1	1.8
01	17	2001	11.9	0.6	160.9	1.2	43.2	1.7
01	18	2001	8.3	-0.8	93.7	1.0	46.6	2.5
01	19	2001	4.5	-2.6	52.1	7.0	61.1	0.6
01	20	2001	5.9	-4.1	69.4	0.0	53.2	0.6
01	21	2001	5.1	-2.6	129.6	0.0	50.7	2.1
01	22	2001	6.7	-2.1	157.4	0.0	48.4	2.0
01	23	2001	6.3	-8.9	123.8	13.2	53.4	1.9
01	24	2001	0.4	-13.1	62.5	1.2	69.8	0.9
01	25	2001	2.5	-5.4	90.3	0.0	58.2	2.1
01	26	2001	-1.9	-12.7	56.7	1.2	62.8	5.3
01	27	2001	-4.8	-16.4	98.4	0.0	61.7	4.2
01	28	2001	-0.8	-16.9	114.6	0.0	51.9	2.6
01	29	2001	4.8	-12.6	143.5	0.0	50.5	1.7
01	30	2001	7.4	-6.5	159.7	0.0	32.3	2.2
01	31	2001	10.3	-5.1	169.0	0.0	36.7	1.2
02	01	2001	11.1	-2.4	155.1	0.0	30.4	4.5
02	02	2001	10.3	-2.8	169.0	0.0	35.2	4.1
02	03	2001	11.0	-1.3	172.5	0.0	31.3	4.7
02	04	2001	7.5	-2.3	165.5	0.0	53.0	2.5
02	05	2001	8.2	-2.6	159.7	0.0	44.0	0.8
02	06	2001	8.5	-2.3	166.7	0.0	43.6	1.0
02	07	2001	10.3	-1.9	195.6	0.0	38.7	1.6
02	08	2001	10.5	-2.4	184.0	0.0	33.2	3.5
02	09	2001	10.8	-2.5	93.7	0.0	38.1	5.4
02	10	2001	3.8	-5.5	72.9	4.1	67.7	4.1
02	11	2001	4.2	-5.9	108.8	0.0	56.5	4.0
02	12	2001	8.9	-5.9	191.0	0.0	32.2	2.2
02	13	2001	13.2	-4.2	207.2	0.0	30.1	1.0
02	14	2001	7.4	-2.3	141.2	7.2	42.2	5.8
02	15	2001	5.7	-3.0	128.5	2.0	56.9	4.3
02	16	2001	8.8	-3.1	179.4	0.0	47.2	2.1
02	17	2001	10.5	-2.6	216.4	2.5	42.3	1.2
02	18	2001	9.1	-4.0	71.8	14.9	58.0	0.5
02	19	2001	8.7	-4.5	137.7	0.0	48.7	4.1
02	20	2001	9.0	-2.5	191.0	0.0	49.9	6.0
02	21	2001	3.7	-6.5	158.6	1.2	50.3	6.7
02	22	2001	3.5	-7.4	178.2	0.0	35.7	5.8
02	23	2001	7.4	-6.4	211.8	0.0	38.7	4.9
02	24	2001	7.6	-3.6	169.0	0.0	47.1	4.2
02	25	2001	11.6	-2.4	236.1	0.0	36.1	2.9
02	26	2001	11.3	-2.1	214.1	0.0	35.4	3.7
02	27	2001	14.6	-2.0	208.3	0.0	29.5	1.5
02	28	2001	16.5	0.7	215.3	0.0	28.3	0.6
03	01	2001	17.5	2.1	221.1	0.0	30.7	2.0
03	02	2001	11.9	2.4	105.3	0.0	42.0	3.1
03	03	2001	15.6	0.9	157.4	0.0	39.7	4.8
03	04	2001	15.7	0.0	230.3	0.0	34.7	2.1
03	05	2001	17.0	1.1	245.4	0.0	34.3	0.9
03	06	2001	17.5	2.3	229.2	0.0	34.5	3.1
